Using database connection: sec_user@localhost:5432/sec_data
         56963 function calls (55375 primitive calls) in 0.674 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       54    0.000    0.000    0.002    0.000 api.py:39(listen)
       47    0.000    0.000    0.002    0.000 attributes.py:468(__getattr__)
        1    0.000    0.000    0.002    0.002 sessions.py:457(prepare_request)
  980/866    0.000    0.000    0.001    0.000 {built-in method builtins.getattr}
   134/64    0.000    0.000    0.001    0.000 operators.py:577(__eq__)
       64    0.000    0.000    0.001    0.000 elements.py:1528(operate)
    55/54    0.000    0.000    0.001    0.000 registry.py:284(listen)
        1    0.000    0.000    0.001    0.001 ssl_.py:225(create_urllib3_context)
  118/112    0.000    0.000    0.001    0.000 {built-in method _operator.eq}
        9    0.000    0.000    0.001    0.000 unitofwork.py:43(track_cascade_events)
      157    0.000    0.000    0.001    0.000 langhelpers.py:1223(__get__)
       64    0.000    0.000    0.001    0.000 type_api.py:202(operate)
        9    0.000    0.000    0.001    0.000 relationships.py:2659(_annotate_remote)
      254    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x00007FFDA9BC8F90}
        4    0.001    0.000    0.001    0.000 {method 'rollback' of 'psycopg2.extensions.connection' objects}
       20    0.001    0.000    0.001    0.000 {method 'write' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    0.001    0.001 ssl.py:492(__new__)
        1    0.000    0.000    0.001    0.001 etl_pipeline.py:28(get_db_session)
       64    0.000    0.000    0.001    0.000 default_comparator.py:50(_boolean_compare)
       38    0.000    0.000    0.001    0.000 properties.py:469(_fallback_getattr)
        4    0.000    0.000    0.001    0.000 langhelpers.py:1350(oneshot)
        1    0.000    0.000    0.001    0.001 utils.py:207(get_netrc_auth)
        3    0.000    0.000    0.001    0.000 cache_key.py:411(_generate_cache_key)
        3    0.000    0.000    0.001    0.000 cache_key.py:347(_generate_cache_key)
     15/3    0.000    0.000    0.001    0.000 cache_key.py:221(_gen_cache_key)
        1    0.000    0.000    0.001    0.001 compiler.py:4866(<listcomp>)
       10    0.000    0.000    0.001    0.000 compiler.py:4483(_label_select_column)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:1167(_find_and_load)
       39    0.000    0.000    0.001    0.000 annotation.py:369(__eq__)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:1122(_find_and_load_unlocked)
        9    0.000    0.000    0.001    0.000 relationships.py:2549(_annotate_fks)
       54    0.000    0.000    0.001    0.000 base.py:177(_listen)
        9    0.000    0.000    0.001    0.000 relationships.py:3065(_setup_pairs)
2117/2111    0.000    0.000    0.001    0.000 {built-in method builtins.isinstance}
        9    0.000    0.000    0.001    0.000 relationships.py:2811(_annotate_remote_distinct_selectables)
        1    0.000    0.000    0.001    0.001 base.py:675(create_for_statement)
       27    0.000    0.000    0.001    0.000 __init__.py:272(_compile)
        1    0.000    0.000    0.001    0.001 context.py:440(create_for_statement)
        1    0.000    0.000    0.001    0.001 context.py:1088(_create_orm_context)
    10115    0.001    0.000    0.001    0.000 {method 'zfill' of 'str' objects}
        6    0.000    0.000    0.001    0.000 __init__.py:2107(error)
        9    0.000    0.000    0.001    0.000 relationships.py:3072(go)
        6    0.000    0.000    0.001    0.000 __init__.py:1508(error)
       52    0.000    0.000    0.001    0.000 events.py:2543(_listen)
        9    0.000    0.000    0.001    0.000 util.py:258(visit_binary_product)
        9    0.000    0.000    0.001    0.000 relationships.py:2393(_determine_joins)
     63/9    0.000    0.000    0.001    0.000 util.py:299(visit)
        3    0.000    0.000    0.001    0.000 default.py:706(do_rollback)
       54    0.000    0.000    0.001    0.000 base.py:183(_for_instance)
        9    0.000    0.000    0.001    0.000 util.py:93(join_condition)
       54    0.000    0.000    0.001    0.000 registry.py:337(base_listen)
        9    0.000    0.000    0.001    0.000 selectable.py:1411(_join_condition)
        2    0.000    0.000    0.001    0.000 _compiler.py:738(compile)
       72    0.000    0.000    0.001    0.000 base.py:1800(contains_column)
       56    0.000    0.000    0.001    0.000 base.py:180(_for_class)
        1    0.000    0.000    0.001    0.001 sessions.py:750(merge_environment_settings)
        4    0.000    0.000    0.001    0.000 frame.py:1510(iterrows)
        7    0.000    0.000    0.001    0.000 visitors.py:532(generate_dispatch)
        9    0.000    0.000    0.001    0.000 relationships.py:2577(_annotate_present_fks)
      288    0.000    0.000    0.001    0.000 visitors.py:813(iterate)
        1    0.000    0.000    0.001    0.001 utils.py:816(get_environ_proxies)
        7    0.000    0.000    0.001    0.000 visitors.py:545(_generate_dispatcher)
        9    0.000    0.000    0.001    0.000 visitors.py:981(cloned_traverse)
       49    0.000    0.000    0.001    0.000 langhelpers.py:1399(oneshot)
       56    0.000    0.000    0.001    0.000 base.py:137(__init__)
     27/9    0.000    0.000    0.001    0.000 visitors.py:1034(clone)
       24    0.000    0.000    0.001    0.000 elements.py:629(compare)
       28    0.000    0.000    0.001    0.000 elements.py:1974(__init__)
        1    0.000    0.000    0.001    0.001 <string>:1(create_engine)
      2/1    0.000    0.000    0.001    0.001 deprecations.py:249(warned)
       24    0.000    0.000    0.001    0.000 traversals.py:44(compare)
        1    0.000    0.000    0.001    0.001 create.py:92(create_engine)
        1    0.000    0.000    0.001    0.001 base.py:3436(_get_default_schema_name)
        9    0.000    0.000    0.001    0.000 relationships.py:3076(visit_binary)
       38    0.000    0.000    0.001    0.000 properties.py:435(_memoized_method___clause_element__)
        1    0.000    0.000    0.001    0.001 session.py:2482(close)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:666(_load_unlocked)
       54    0.000    0.000    0.001    0.000 relationships.py:3416(col_to_bind)
        1    0.000    0.000    0.001    0.001 session.py:2584(_close_impl)
        5    0.000    0.000    0.001    0.000 cache_key.py:148(_generate_cache_attrs)
       20    0.000    0.000    0.001    0.000 __init__.py:1595(makeRecord)
    10445    0.001    0.000    0.001    0.000 {method 'upper' of 'str' objects}
        5    0.000    0.000    0.001    0.000 base.py:152(<dictcomp>)
        2    0.000    0.000    0.001    0.000 request.py:2493(getproxies_environment)
       64    0.000    0.000    0.001    0.000 elements.py:2870(_construct_for_op)
    36/24    0.000    0.000    0.001    0.000 traversals.py:482(compare)
        2    0.000    0.000    0.001    0.000 __init__.py:163(match)
       20    0.000    0.000    0.001    0.000 __init__.py:292(__init__)
       18    0.000    0.000    0.001    0.000 relationships.py:2050(_columns_are_mapped)
        1    0.000    0.000    0.001    0.001 <string>:1(close)
       22    0.000    0.000    0.001    0.000 _elements_constructors.py:465(bindparam)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:934(exec_module)
        1    0.000    0.000    0.001    0.001 session.py:1402(close)
        8    0.000    0.000    0.001    0.000 {built-in method builtins.exec}
       38    0.000    0.000    0.001    0.000 properties.py:391(_orm_annotate_column)
        9    0.000    0.000    0.001    0.000 relationships.py:2837(_annotate_local)
